Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
XRPUSDT,"RSI_Strategy(21,70,30)",1d,2,50.00,0.72,1.71,2.69,1.61,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
BTCUSDT,Confluence_Conservative,1d,14,42.86,0.67,1.63,1.10,1.16,400,2024-12-26,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
SOLUSDT,Confluence_Default,1d,13,38.46,0.65,7.28,0.62,1.08,400,2024-12-26,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
DOTUSDT,"RSI_Strategy(14,70,30)",1d,9,44.44,0.63,8.02,0.62,1.08,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
LINKUSDT,"SMA_Crossover(20,100)",1d,4,25.00,0.63,3.31,1.26,1.23,400,2024-12-26,2026-01-31,"{""long_period"":100,""short_period"":20}"
BNBUSDT,"SMA_Crossover(10,50)",1d,4,50.00,0.55,1.46,2.69,1.49,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":10}"
BNBUSDT,"RSI_Strategy(14,65,35)",1d,16,31.25,0.53,5.85,0.56,1.07,400,2024-12-26,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
BTCUSDT,Adaptive(21/55),1d,17,41.18,0.50,2.22,0.67,1.09,400,2024-12-26,2026-01-31,null
ETHUSDT,"SMA_Crossover(20,50)",1d,5,40.00,0.42,1.62,1.20,1.18,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":20}"
BNBUSDT,"RSI_Strategy(7,70,30)",1d,15,33.33,0.40,3.44,0.51,1.07,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
DOGEUSDT,"SMA_Crossover(20,100)",1d,4,25.00,0.37,5.52,0.75,1.11,400,2024-12-26,2026-01-31,"{""long_period"":100,""short_period"":20}"
SOLUSDT,"SMA_Crossover(50,200)",1d,2,50.00,0.27,1.69,1.03,1.18,400,2024-12-26,2026-01-31,"{""long_period"":200,""short_period"":50}"
